height_Mm,temperature_K,pressure_dyn_cm2,i_pw_H,f_pw_H_1e16_cm3,i_pw_total_e,f_pw_total_e_1e16_cm3,iterations,duration_s,i_heinzel2015,f_heinzel2015_1e16_cm3,C_i,C_f
10,10000,0.05,0.7193653349867133,8.77271113294242,0.7381773937368191,9.237539301776174,133,46.34307330800221,0.7,5.3,0.9730799719629651,0.6041461892091673
10,10000,0.1,0.7230123011505026,8.90784832356505,0.7340100105519991,9.180903166137428,134,37.96334423799999,0.69,5.1,0.9543406092842799,0.5725288324126859
10,10000,0.2,0.7377951660331836,9.329580654610396,0.7440890816790571,9.489435465920495,131,45.700760167994304,0.73,5.3,0.9894345119186738,0.5680855545614368
10,12000,0.01,0.9009080647346212,11.710187051508164,0.9866880585692548,14.046322236242828,91,27.188907882999047,0.91,9.1,1.010091967894701,0.7771011649918951
10,12000,0.02,0.8578532464289437,9.659494119022252,0.9432420984728755,11.678168460378604,110,39.62237719100085,0.85,7.0,0.9908454663293109,0.724675631430329
10,12000,0.05,0.853861045257716,8.211894084484705,0.938081457352246,9.911743187994604,130,45.4343142889993,0.82,5.0,0.9603436115913966,0.6088729285301966
10,12000,0.1,0.880407196423252,8.347855186374842,0.9626980078906658,9.981317839198566,139,34.17259303299943,0.85,4.9,0.9654623490734917,0.5869771205420113
10,12000,0.2,0.9045799990073368,9.0508272831759,0.9832397203494884,10.693334314161756,142,40.78877683299652,0.89,5.2,0.9838820236758092,0.5745331158474323
10,14000,0.01,0.926062510961614,12.803299638155124,1.0123639284834154,15.300817234328637,71,20.849121121005737,0.93,9.8,1.0042518609616293,0.7654276848129846
10,14000,0.02,0.904009881005924,10.116977270583975,0.9902653631870878,12.139690012773244,90,32.0146448440064,0.89,7.1,0.9845025134124256,0.7017906445874788
10,14000,0.05,0.9162805337948348,8.463227605362304,1.0024734112204592,10.13035875191522,111,27.95878764799272,0.89,4.9,0.9713182449855262,0.5789753305104731
10,14000,0.1,0.935923677021946,8.476193217961097,1.0220491453158185,10.107960553525636,124,36.47199915901001,0.92,4.8,0.9829861372108737,0.5662919516545205
10,14000,0.2,0.9518653077573266,9.052950410630125,1.0378797325627085,10.762996692707327,131,45.67888437400688,0.94,5.0,0.9875346777946112,0.5523061292955849
20,6000,0.01,0.7245261188069052,7.257334210263333,0.7251577840721858,7.269994083108464,63,19.199199990995112,0.73,4.7,1.0075551192027539,0.6476207191000316
20,6000,0.02,0.5849716220509938,6.481899210737441,0.5855290478606885,6.4942584408192765,65,19.48477727698628,0.6,4.2,1.025690781197752,0.6479582393139632
20,6000,0.05,0.351716041908327,5.985467319529512,0.3522124311959385,6.002374245169322,66,12.945562963999691,0.41,3.8,1.1657131070150744,0.6348710630498771
20,6000,0.1,0.2114354936962643,5.875939865245739,0.2119060922800298,5.902125499800157,66,23.525872098005493,0.29,3.7,1.371576715575469,0.6296864986458233
20,6000,0.2,0.1232654669429632,5.839992622446857,0.1237182632360439,5.882976011652563,66,19.392252740988624,0.18,3.6,1.4602629955013169,0.6164391348993967
20,8000,0.01,0.806036132384864,9.302818731596217,0.8071219181446249,9.327898677713131,94,33.15084470799775,0.81,6.3,1.0049177294365301,0.6772140984111188
20,8000,0.02,0.6929200501970948,8.316253878546707,0.6939757306889771,8.341613210337202,96,33.828259494010126,0.7,5.4,1.0102175565577751,0.6493308259780627
20,8000,0.05,0.4938321478354226,7.591487872176032,0.4948641054379339,7.6232487815615455,98,28.52518851400237,0.52,4.6,1.0529893654742344,0.6059418229277169
20,8000,0.1,0.3564123313361759,7.390648801287797,0.3574320258794423,7.432998541285544,98,26.78299611000693,0.41,4.4,1.1503530151802717,0.5953469199122701
20,8000,0.2,0.2785216225028325,7.337869248953575,0.279529295654618,7.391061166962739,99,34.68418972000654,0.33,4.3,1.1848272210774011,0.5860011747433639
20,10000,0.01,0.8551191377627833,10.475520371392204,0.9021633784885909,11.659844030337329,109,31.03349153998716,0.86,7.6,1.0057078154629848,0.7255009517956724
20,10000,0.02,0.7775998142331524,9.13382042836298,0.8113469042672636,9.943821954884974,124,23.496690515996303,0.78,6.3,1.0030866593881773,0.6897442367529799
20,10000,0.05,0.7049607974757209,8.192089342961223,0.7239370255523919,8.639056705972301,135,33.81658750299539,0.68,4.8,0.9645926446334336,0.5859311097631325
20,10000,0.1,0.7129956231700058,8.335856767078779,0.7240652338006651,8.596702670793883,135,47.03430824699171,0.68,4.7,0.9537225445742487,0.5638292657045102
20,10000,0.2,0.7283172750805554,8.724643210406603,0.7346486889229278,8.87699283104524,132,28.82805574301165,0.72,4.9,0.9885801485628148,0.5616275510447655
20,12000,0.01,0.8913431602144294,11.17470785839874,0.9771252704657316,13.429096542746292,93,30.324766123012523,0.9,8.6,1.009712129033994,0.769595063152937
20,12000,0.02,0.8474484446600414,9.029327037830004,0.9328420165037176,10.94069742773632,112,26.474538153008325,0.84,6.5,0.9912107400668728,0.7198764617525836
20,12000,0.05,0.8480431105168165,7.6638202005033,0.9322699328134816,9.261744629690082,131,31.82177917999797,0.81,4.6,0.9551401219524889,0.6002228496563512
20,12000,0.1,0.8766794099780341,7.8185051569872,0.9589778530206248,9.355333387780217,141,39.82963361199654,0.84,4.5,0.9581609770224293,0.5755575918471403
20,12000,0.2,0.9015843119986806,8.48789454157306,0.9802549826550712,10.033799064913673,143,49.62932620599168,0.88,4.8,0.9760595745606627,0.5655112674279783
20,14000,0.01,0.9191931553038936,12.163921851189496,1.0054948339511225,14.555252539104288,73,21.934372189993155,0.92,9.2,1.0008777749175468,0.756335013702866
20,14000,0.02,0.8978955484714964,9.427497777489489,0.9841512369376528,11.325789539254629,92,20.88275383799919,0.88,6.4,0.9800694540673909,0.6788651825812787
20,14000,0.05,0.9132130593053582,7.900207117974632,0.9994060613492228,9.461896834902069,112,39.12594683699717,0.89,4.5,0.97458089427344,0.569605319556946
20,14000,0.1,0.9339197585342552,7.936749142875688,1.0200453473879636,9.468092343153726,125,43.58623220199661,0.91,4.4,0.9743877797683644,0.5543831511859738
20,14000,0.2,0.9503839962042244,8.489966494089677,1.0363985734389891,10.096279396008438,132,45.93906928499928,0.94,4.6,0.9890738940831311,0.5418160369893459
30,6000,0.01,0.7050383963751404,6.89680031453647,0.7056723768746003,6.909209292002477,64,23.271756396003184,0.71,4.5,1.0070373523631748,0.6524764810886717
30,6000,0.02,0.5591644602429786,6.12081199054724,0.5597255138550749,6.133101135417816,65,14.753361554001458,0.58,4.0,1.0372619170895938,0.6535080649720094
30,6000,0.05,0.3286269174726854,5.637919721166921,0.3291283298195493,5.655137295499505,66,19.5983371790062,0.39,3.5,1.1867561032410432,0.6207963527504041
