height_Mm,T6000K_p0.01,T6000K_p0.02,T6000K_p0.05,T6000K_p0.1,T6000K_p0.2,T8000K_p0.01,T8000K_p0.02,T8000K_p0.05,T8000K_p0.1,T8000K_p0.2,T10000K_p0.01,T10000K_p0.02,T10000K_p0.05,T10000K_p0.1,T10000K_p0.2,T12000K_p0.01,T12000K_p0.02,T12000K_p0.05,T12000K_p0.1,T12000K_p0.2,T14000K_p0.01,T14000K_p0.02,T14000K_p0.05,T14000K_p0.1,T14000K_p0.2
63,0.65418044,0.50648571,0.3229821,0.22217419,0.14035384,0.75348143,0.61704354,0.42966218,0.33758764,0.283916,0.81363583,0.71499781,0.62743322,0.64653926,0.6860319,0.86337464,0.80388539,0.79645232,0.83083578,0.87218956,0.90141936,0.86529189,0.87264979,0.90495933,0.92618163
64,0.65299028,0.50495554,0.32158574,0.22117443,0.13973676,0.75244861,0.61570726,0.42816851,0.33643518,0.28308077,0.81281497,0.71400136,0.62668998,0.64593741,0.68538508,0.86276965,0.80328883,0.79611756,0.83059183,0.87197389,0.90099736,0.86494589,0.87245937,0.9048229,0.92607651
65,0.65176641,0.50339595,0.32022681,0.22023723,0.13916325,0.7513576,0.61433949,0.42668205,0.33530906,0.28225368,0.81189795,0.71294521,0.62592859,0.64531667,0.68471568,0.86205735,0.80266669,0.79577219,0.83033808,0.87174947,0.90048384,0.86457273,0.87226183,0.90468078,0.92596695
66,0.65031339,0.50159535,0.31860708,0.21904292,0.13841552,0.75011591,0.61272682,0.42496672,0.33397571,0.28130702,0.81092706,0.71174772,0.62508697,0.64465872,0.68401386,0.86134281,0.80197244,0.79539867,0.83007192,0.87151567,0.89994904,0.86416619,0.8720528,0.90453258,0.92585298
67,0.64828233,0.49903434,0.31675127,0.21782466,0.13766758,0.74845268,0.61048664,0.42283835,0.33262283,0.2804191,0.80961379,0.7102175,0.62411543,0.64401618,0.683384,0.86045042,0.80116038,0.79501893,0.82982288,0.87130542,0.89934676,0.86373624,0.8718535,0.90439811,0.92575163
68,0.6479347,0.49847478,0.31596435,0.21722074,0.13730629,0.74812149,0.61002095,0.42205514,0.33187122,0.2798159,0.80932879,0.70979781,0.62366717,0.64355712,0.68285183,0.8602164,0.80085466,0.79478175,0.82962939,0.87112733,0.89916982,0.86353493,0.87170905,0.90428741,0.92566447
69,0.64556831,0.49560129,0.31383164,0.21575893,0.13639384,0.74610588,0.60744779,0.41967341,0.33028585,0.27877562,0.80782724,0.70800616,0.62257083,0.64283303,0.6821355,0.85915325,0.79990037,0.7943477,0.82934673,0.87088821,0.89845251,0.86303061,0.87148065,0.90413431,0.925549
70,0.64486686,0.49465572,0.31278545,0.21495624,0.13589561,0.74547827,0.60662205,0.41860374,0.32935372,0.27806572,0.80731846,0.70734061,0.62200509,0.64231639,0.68155542,0.85876494,0.79945073,0.79407046,0.82913255,0.87069419,0.89817379,0.86277008,0.87131748,0.90401307,0.92545431
71,0.64317978,0.49249,0.3110849,0.21379229,0.13517869,0.74408373,0.60468026,0.41671389,0.32805425,0.27718696,0.80625182,0.70601408,0.62111324,0.64168028,0.68090702,0.85796175,0.79872757,0.79370489,0.82888125,0.87047708,0.89765525,0.86237702,0.87111987,0.90387564,0.92534938
72,0.64089929,0.48979603,0.30907272,0.21241275,0.13432118,0.74216908,0.60223004,0.4144678,0.32653798,0.27618191,0.80478338,0.70428424,0.62006727,0.64096845,0.68019279,0.85692011,0.79780009,0.79328007,0.82860006,0.8702378,0.89695364,0.86188431,0.87089343,0.90372267,0.92523368
73,0.63927315,0.48778854,0.30749404,0.21132534,0.13364916,0.74078864,0.60044098,0.41271274,0.32529867,0.27532994,0.80371005,0.70296865,0.61921077,0.64034126,0.67954207,0.85614671,0.79708782,0.79291726,0.82834886,0.87001903,0.89642519,0.86149141,0.87069353,0.90358368,0.92512772
74,0.63788457,0.48608961,0.30612593,0.21037819,0.13306657,0.73959418,0.59891458,0.41119768,0.32419451,0.274544,0.80277174,0.70185309,0.6184483,0.63974918,0.6789135,0.85546384,0.79645049,0.79258102,0.82810792,0.86980698,0.89595558,0.86113267,0.87050509,0.90344984,0.92502481
75,0.63677446,0.4847399,0.30493363,0.20953045,0.13254745,0.73859989,0.59769313,0.40990022,0.32318615,0.27379919,0.80191794,0.70091437,0.61776923,0.63918037,0.67829246,0.854865,0.79588299,0.79226436,0.82787299,0.86959716,0.89550603,0.8608014,0.87032244,0.90331787,0.92492269
76,0.63482836,0.48237911,0.30314489,0.20830439,0.1317859,0.73690144,0.5955657,0.40787191,0.32180452,0.2728571,0.80063268,0.69940635,0.61680229,0.63848462,0.67757812,0.85393687,0.79505782,0.79186044,0.82759474,0.86935594,0.89487079,0.86034995,0.87010229,0.90316502,0.92480598
77,0.63392477,0.48116825,0.30191917,0.20737992,0.13120994,0.73608134,0.59450585,0.40658007,0.32072875,0.27205194,0.79993361,0.69858223,0.61612219,0.63788268,0.67691228,0.85337859,0.79453636,0.79153725,0.82734606,0.86913101,0.89445665,0.86002896,0.86991313,0.90302483,0.92469649
78,0.63146011,0.47829157,0.29993465,0.20606076,0.13039047,0.7340162,0.59182995,0.40430782,0.31927485,0.27110786,0.79836116,0.69675193,0.61506533,0.63719224,0.6762317,0.85227359,0.79358317,0.791119,0.82707452,0.86890107,0.89371873,0.85951931,0.86969342,0.90287795,0.9245858
79,0.63007525,0.47654128,0.29856088,0.2051127,0.1298048,0.73285152,0.59027963,0.40277549,0.31820139,0.27036342,0.79746352,0.69565298,0.614319,0.63663078,0.67564835,0.85158906,0.79295631,0.79080206,0.82684977,0.86870395,0.89328025,0.85918547,0.86951864,0.90275415,0.92449066
80,0.62927971,0.4755812,0.29760862,0.20441162,0.1293761,0.73213349,0.58939224,0.40176654,0.31735239,0.26971515,0.7968825,0.69493109,0.6137634,0.63612719,0.67508251,0.85114974,0.79250559,0.79052661,0.8266382,0.86851208,0.89297002,0.85891647,0.86935675,0.90263445,0.92439727
81,0.6274507,0.47338604,0.29597254,0.20328677,0.12867687,0.73059133,0.58739753,0.39992943,0.31609694,0.26886739,0.79569991,0.69352156,0.61288263,0.63549906,0.67443911,0.85030957,0.79174919,0.79016097,0.82638721,0.86829424,0.89240401,0.85851033,0.86915852,0.90249697,0.92429223
82,0.6258552,0.47149478,0.29455437,0.20232624,0.12808694,0.72923449,0.58566479,0.39832761,0.31498386,0.2681017,0.79465232,0.6922404,0.61209161,0.63491181,0.67382716,0.8495605,0.79106878,0.78982168,0.82614951,0.86808629,0.89189751,0.85813994,0.86897173,0.9023659,0.92419178
83,0.62436768,0.4696642,0.29314548,0.20135232,0.12748473,0.72798318,0.5840148,0.39675074,0.31387832,0.26733585,0.79364488,0.69106491,0.61131557,0.63433053,0.67322011,0.848876,0.79042764,0.78949025,0.82591477,0.86788013,0.8914335,0.85778933,0.86878911,0.90223659,0.92409233
84,0.62330968,0.46837381,0.29199813,0.20052508,0.12697393,0.72706241,0.58283428,0.39550634,0.31290744,0.26662453,0.79291982,0.69016313,0.61065752,0.63378171,0.67262036,0.84834297,0.78989872,0.78918626,0.82568766,0.86767612,0.89106437,0.85748498,0.86861463,0.90210934,0.92399343
85,0.62190084,0.46663025,0.29062462,0.19955872,0.12637372,0.72581477,0.58126379,0.39395773,0.3118101,0.26585555,0.79198879,0.68903443,0.60989466,0.6331962,0.67200345,0.84767242,0.7892724,0.78885556,0.82545007,0.86746616,0.89057614,0.85713728,0.8684305,0.901978,0.9238921
