height_Mm,temperature_K,pressure_dyn_cm2,i_extension,f_extension_1e16_cm3,i_pw_H,f_pw_H_1e16_cm3,C_i_applied,C_f_applied,i_pw_total_e,f_pw_total_e_1e16_cm3,iterations,duration_s
7,10000,0.1,0.6934247979,5.221821653,0.7266009548,9.120626521,0.9543406093,0.5725288324,0.7375733393,9.398167132,133,46.48269386
7,10000,0.2,0.7332878695,5.427657617,0.7411181445,9.554296132,0.9894345119,0.5680855546,0.7473991272,9.716927862,130,25.17052554
7,12000,0.01,0.9134672667,9.263995978,0.9043406895,11.92122261,1.010091968,0.777101165,0.9901199285,14.29000096,90,32.20495571
7,12000,0.02,0.8537386544,7.17431382,0.8616264427,9.900034594,0.9908454663,0.7246756314,0.947013595,11.9594471,109,38.4877514
7,12000,0.05,0.8220246161,5.125682454,0.8559692658,8.418312285,0.9603436116,0.6088729285,0.940187364,10.15634652,129,45.20623867
7,12000,0.1,0.851270589,5.015943956,0.8817232384,8.545382401,0.9654623491,0.5869771205,0.9640113627,10.21483212,139,39.01195124
7,12000,0.2,0.8910240684,5.320388131,0.9056208437,9.260368087,0.9838820237,0.5745331158,0.9842767688,10.9388055,142,36.69499633
7,14000,0.01,0.9324927873,9.992292817,0.9285447442,13.05452235,1.004251861,0.7654276848,1.014846068,15.59393288,70,20.93280368
7,14000,0.02,0.8922028746,7.285840573,0.906247432,10.3817864,0.9845025134,0.7017906446,0.9925028392,12.45208358,89,26.32721334
7,14000,0.05,0.8910658825,5.022979641,0.9173778904,8.675636726,0.971318245,0.5789753305,1.003570723,10.38247245,111,39.30774306
7,14000,0.1,0.9206928683,4.914196762,0.9366285377,8.677850263,0.9829861372,0.5662919517,1.022753964,10.34712564,123,31.96772381
7,14000,0.2,0.940509534,5.115980023,0.9523812734,9.26294269,0.9875346778,0.5523061293,1.038395645,11.0116652,131,45.49656681
8,6000,0.01,0.744633252,5.066963357,0.7496909133,7.768932217,0.9932536713,0.6522084651,0.7503197218,7.781970175,62,18.17369417
8,6000,0.02,0.6263960501,4.667179671,0.6190766731,7.001119936,1.011823054,0.6666332979,0.6196296757,7.013633303,64,23.1934015
8,6000,0.05,0.4474593881,4.265972698,0.3851559978,6.497833833,1.161761444,0.6565222823,0.3856459846,6.514377146,66,23.94553339
8,6000,0.1,0.3157269265,4.061700081,0.2331992992,6.369594618,1.353893119,0.6376701069,0.2336632646,6.394965285,66,23.97004417
8,6000,0.2,0.2036786077,4.061648684,0.1358712962,6.330512505,1.499055455,0.6415987143,0.136317741,6.372182348,66,13.03452102
8,8000,0.01,0.8338388431,6.778054839,0.8261526896,9.849635451,1.009303551,0.6881528634,0.8272376219,9.875522202,91,31.82753884
8,8000,0.02,0.7253167803,5.88029916,0.7214072351,8.942782076,1.005419332,0.6575469591,0.7224619305,8.968949835,93,27.23678368
8,8000,0.05,0.5570647883,5.079022135,0.5293551241,8.247107738,1.052346077,0.6158549514,0.5303857345,8.279251863,95,33.80051125
8,8000,0.1,0.4460856444,4.876266704,0.3835012154,8.029584881,1.163192257,0.6072875218,0.3845195566,8.072284683,96,34.10070574
8,8000,0.2,0.3541429287,4.774573198,0.2963966392,7.971751704,1.194827747,0.5989365168,0.2974031781,8.02598648,96,18.79356736
8,10000,0.01,0.8730328558,8.192778503,0.8709748406,11.06040344,1.002362887,0.7407305302,0.9178210454,12.28218889,106,37.19080913
8,10000,0.02,0.7938764583,6.90001388,0.7983450184,9.854562851,0.9944027207,0.7001846744,0.8318070299,10.69796807,121,38.25996748
8,10000,0.05,0.7032647949,5.385529832,0.7227204497,8.914282549,0.973079972,0.6041461892,0.7414950486,9.383442978,132,45.95141696
8,10000,0.1,0.6922251096,5.180107262,0.7253438687,9.047766626,0.9543406093,0.5725288324,0.7363250981,9.323794851,133,27.36476443
8,10000,0.2,0.7321634649,5.384010141,0.7399817331,9.477463558,0.9894345119,0.5680855546,0.746267126,9.63915018,130,25.54296468
8,12000,0.01,0.9123066665,9.214241486,0.903191685,11.85719685,1.010091968,0.777101165,0.9889711761,14.21639353,90,32.57805911
8,12000,0.02,0.8524074881,7.116302518,0.8602829776,9.819983188,0.9908454663,0.7246756314,0.9456707351,11.86609945,110,25.17656415
8,12000,0.05,0.8213136951,5.082273898,0.855228988,8.347018991,0.9603436116,0.6088729285,0.939447898,10.07191319,129,37.89208567
8,12000,0.1,0.8508325785,4.976222868,0.8812695589,8.477711812,0.9654623491,0.5869771205,0.9635586091,10.13485136,139,39.70219271
8,12000,0.2,0.8906756132,5.27920237,0.9052666801,9.188682471,0.9838820237,0.5745331158,0.9839238965,10.85483408,142,49.11596555
8,14000,0.01,0.9316277387,9.939096678,0.927683358,12.98502377,1.004251861,0.7654276848,1.013984714,15.51336582,71,25.59187027
8,14000,0.02,0.8914281338,7.22474789,0.9054604957,10.29473383,0.9845025134,0.7017906446,0.9917159292,12.3495373,90,31.90313317
8,14000,0.05,0.8906991034,4.980966523,0.9170002808,8.603072117,0.971318245,0.5789753305,1.003193129,10.29636013,111,32.68073358
