status,height_Mm,temperature_K,pressure_dyn_cm2,pressure_Pa,i_ne_over_nH,f_cm3,f_1e16_cm3,proton_fraction_np_over_nH,f_proton_cm3,f_proton_1e16_cm3,ne_cm3,nH_cm3,n2_cm3,hydrogen_population_sum_over_nH,reconstructed_pressure_Pa,pressure_relative_error,center_index,n_depth_points,iterations,duration_s,bc_type,boundary_source,Nhalf_points,Nrays,threads_per_model,JTol,popsTol,error_type,error_message
ok,1,14000,0.01,0.001,1.021955431852056,1.6519702465699222e+17,16.519702465699222,0.9356543740062664,1.38474310926417e+17,13.8474310926417,2507937522.1827507,2454057627.1880064,38.07423667727622,1.0,0.0009999822021221,-1.7797877849019123e-05,45,91,68,24.44058087799931,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,14000,0.02,0.002,0.99893431018336,1.3396727147981408e+17,13.396727147981409,0.9126791171802958,1.118307092896358e+17,11.18307092896358,4957045084.69476,4962333392.858302,183.4201421008936,1.0,0.0019999758750395,-1.2062480216068485e-05,45,91,88,17.635897123007453,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,14000,0.05,0.005,1.006608857333044,1.1103765694968376e+17,11.103765694968375,0.9204161471856152,9.28361778917055e+16,9.28361778917055,12442153185.860271,12360464638.494326,1394.186262148553,1.0,0.0049999904995019,-1.9000996083831648e-06,45,91,109,37.5985846399999,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,14000,0.1,0.01,1.0246264879657176,1.1015729375101362e+17,11.015729375101362,0.9385011743553036,9.241697333753091e+16,9.241697333753091,25113542575.787277,24509948621.031094,5725.358705084173,1.0,0.009999996172942,-3.827057904956521e-07,45,91,122,26.52479750099883,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,14000,0.2,0.02,1.0397442444956129,1.170299217511222e+17,11.70299217511222,0.9537300112470992,9.846791961274114e+16,9.846791961274114,50605724756.3959,48671319917.66406,21882.7744204276,1.0,0.0199999982585651,-8.707174477956546e-08,45,91,131,45.79757880800753,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,6000,0.01,0.001,0.7690543751659447,8.177773599411312e+16,8.177773599411312,0.768427602729893,8.164449406518066e+16,8.164449406518065,5004249569.004375,6507016578.541109,306.22654741485144,1.0000000000000002,0.0010000281275418,2.81275418310533e-05,45,91,62,18.41515947600419,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,6000,0.02,0.002,0.6453737950739366,7.406381266005194e+16,7.4063812660051935,0.644823882401256,7.3937649257158e+16,7.3937649257158,8998800770.576502,13943548435.438978,1093.3600688397437,1.0000000000000002,0.0020000479157073,2.3957853662959563e-05,45,91,64,22.966656938006054,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,6000,0.05,0.005,0.4122154540642979,6.890244426229176e+16,6.890244426229176,0.4117299456453712,6.874023289395739e+16,6.87402328939574,16605325580.717968,40283122374.46548,4001.844065095801,0.9999999999999998,0.0050001116288782,2.2325775653371512e-05,45,91,65,13.03051279799547,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,6000,0.1,0.01,0.2513401900353681,6.751752836053968e+16,6.751752836053968,0.2508809354477759,6.727101461664193e+16,6.727101461664192,22684854785.603203,90255580623.26218,7621.763549991883,1.0,0.0100000844648137,8.446481371618407e-06,45,91,66,12.353548177008634,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,6000,0.2,0.02,0.1466849934580856,6.7261805517185176e+16,6.726180551718517,0.1462431439718166,6.685719926085979e+16,6.685719926085979,28725905865.506107,195833978570.6461,12268.146259961572,1.0000000000000002,0.0200000986369074,4.931845372889431e-06,45,91,66,18.292979543999536,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
